Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1764751456.473716,19791,10,1
2,Payment,1764751456.473716,21018,1,1
2,Payment,1764751456.473831,19616,0,1
1,NewOrder,1764751456.474351,31810,8,1
1,NewOrder,1764751456.477154,33184,4,1
1,NewOrder,1764751456.477209,26878,3,1
1,NewOrder,1764751456.479729,24316,11,1
5,StockLevel,1764751456.479951,19423,2,1
1,NewOrder,1764751456.482617,48510,5,1
3,OrderStatus,1764751456.488316,16654,12,1
2,Payment,1764751456.493446,17028,13,1
2,Payment,1764751456.493453,16958,7,1
1,NewOrder,1764751456.493458,45622,0,1
2,Payment,1764751456.493516,16750,10,1
1,NewOrder,1764751456.493568,37581,14,1
4,Delivery,1764751456.494743,48492,1,1
2,Payment,1764751456.499394,39817,2,1
2,Payment,1764751456.499492,43778,9,1
1,NewOrder,1764751456.499510,39598,15,1
1,NewOrder,1764751456.504068,48514,11,1
1,NewOrder,1764751456.504100,40058,3,1
2,Payment,1764751456.504979,55579,12,1
2,Payment,1764751456.505060,38011,6,1
2,Payment,1764751456.506183,33078,8,1
1,NewOrder,1764751456.510279,33254,10,1
2,Payment,1764751456.510341,28724,4,1
1,NewOrder,1764751456.510421,36331,7,1
2,Payment,1764751456.510483,32746,13,1
2,Payment,1764751456.531150,47046,5,1
1,NewOrder,1764751456.531164,29475,14,1
2,Payment,1764751456.539088,21471,4,1
1,NewOrder,1764751456.539093,30658,0,1
1,NewOrder,1764751456.539117,34726,15,1
1,NewOrder,1764751456.539224,38895,2,1
1,NewOrder,1764751456.539267,30427,8,1
1,NewOrder,1764751456.543095,30752,6,1
1,NewOrder,1764751456.543241,26514,13,1
1,NewOrder,1764751456.543244,30602,1,1
2,Payment,1764751456.543278,17280,9,1
5,StockLevel,1764751456.543539,17476,10,1
2,Payment,1764751456.544211,70664,3,1
1,NewOrder,1764751456.546767,31374,7,1
1,NewOrder,1764751456.552595,25629,11,1
2,Payment,1764751456.560581,17525,9,1
1,NewOrder,1764751456.560581,27044,4,1
4,Delivery,1764751456.560583,27048,12,1
2,Payment,1764751456.560648,17466,14,1
2,Payment,1764751456.561022,45020,10,1
2,Payment,1764751456.569710,17918,8,1
1,NewOrder,1764751456.569766,21795,13,1
1,NewOrder,1764751456.569766,45191,0,1
2,Payment,1764751456.573861,17783,6,1
2,Payment,1764751456.573861,32180,15,1
1,NewOrder,1764751456.573862,35972,1,1
2,Payment,1764751456.578126,45757,9,1
1,NewOrder,1764751456.578126,31710,14,1
2,Payment,1764751456.578128,27915,2,1
1,NewOrder,1764751456.578149,42825,7,1
5,StockLevel,1764751456.578199,31710,5,1
2,Payment,1764751456.578226,27819,11,1
5,StockLevel,1764751456.587650,27207,12,1
2,Payment,1764751456.587652,27226,8,1
2,Payment,1764751456.587652,27251,4,1
1,NewOrder,1764751456.591578,27996,13,1
1,NewOrder,1764751456.591660,29542,6,1
4,Delivery,1764751456.606068,93114,11,1
2,Payment,1764751456.606068,17816,2,1
1,NewOrder,1764751456.606068,37648,15,1
1,NewOrder,1764751456.606068,93079,10,1
1,NewOrder,1764751456.609850,89298,1,1
1,NewOrder,1764751456.609850,89362,14,1
2,Payment,1764751456.609912,33807,5,1
2,Payment,1764751456.614867,28853,12,1
1,NewOrder,1764751456.614884,92234,3,1
2,Payment,1764751456.614887,28826,8,1
2,Payment,1764751456.614911,92245,4,1
1,NewOrder,1764751456.614960,88030,0,1
1,NewOrder,1764751456.619588,87594,13,1
2,Payment,1764751456.620987,78161,7,1
2,Payment,1764751456.621219,93262,6,1
4,Delivery,1764751456.623895,79115,9,1
1,NewOrder,1764751456.623896,83216,2,1
2,Payment,1764751456.643735,63335,8,1
2,Payment,1764751456.643735,79765,5,1
1,NewOrder,1764751456.643735,63409,12,1
2,Payment,1764751456.643735,63375,15,1
1,NewOrder,1764751456.699169,29188,7,1
1,NewOrder,1764751456.699169,31620,1,1
2,Payment,1764751456.699169,15616,10,1
2,Payment,1764751456.699190,15219,11,1
1,NewOrder,1764751456.699219,35995,14,1
2,Payment,1764751456.703010,15816,0,1
1,NewOrder,1764751456.703019,41144,9,1
3,OrderStatus,1764751456.707080,733,8,1
1,NewOrder,1764751456.707113,23944,2,1
5,StockLevel,1764751456.707118,16319,15,1
1,NewOrder,1764751456.707125,23809,3,1
1,NewOrder,1764751456.707146,25135,12,1
2,Payment,1764751456.707164,33789,4,1
1,NewOrder,1764751456.707190,23548,13,1
5,StockLevel,1764751456.707819,15644,8,1
2,Payment,1764751456.714429,18036,11,1
1,NewOrder,1764751456.714491,33234,6,1
1,NewOrder,1764751456.714793,20445,10,1
1,NewOrder,1764751456.718841,34755,0,1
2,Payment,1764751456.723456,19578,15,1
1,NewOrder,1764751456.723473,24454,8,1
4,Delivery,1764751456.723507,62565,5,1
1,NewOrder,1764751456.728376,35073,7,1
2,Payment,1764751456.730753,17138,13,1
1,NewOrder,1764751456.730799,32684,1,1
1,NewOrder,1764751456.730942,32483,3,1
2,Payment,1764751456.731066,16820,2,1
1,NewOrder,1764751456.732290,31195,12,1
1,NewOrder,1764751456.732473,21526,11,1
1,NewOrder,1764751456.735226,37460,14,1
2,Payment,1764751456.735247,18230,10,1
1,NewOrder,1764751456.740968,27532,4,1
1,NewOrder,1764751456.743047,43017,15,1
1,NewOrder,1764751456.744174,52909,9,1
2,Payment,1764751456.747737,19502,6,1
1,NewOrder,1764751456.747897,49132,2,1
1,NewOrder,1764751456.747899,38168,13,1
2,Payment,1764751456.747937,38183,8,1
1,NewOrder,1764751456.753497,43848,10,1
1,NewOrder,1764751456.753612,60682,0,1
2,Payment,1764751456.754010,32137,11,1
1,NewOrder,1764751456.763444,41590,3,1
3,OrderStatus,1764751456.763462,1135,7,1
2,Payment,1764751456.763497,22634,1,1
1,NewOrder,1764751456.763497,41306,12,1
3,OrderStatus,1764751456.764607,1705,7,1
5,StockLevel,1764751456.766322,30768,7,1
2,Payment,1764751456.767248,37971,6,1
2,Payment,1764751456.768510,36433,4,1
2,Payment,1764751456.772705,32476,14,1
2,Payment,1764751456.786086,34875,15,1
4,Delivery,1764751456.786086,44497,13,1
1,NewOrder,1764751456.786086,49277,5,1
5,StockLevel,1764751456.786134,23752,8,1
4,Delivery,1764751456.786136,34249,1,1
4,Delivery,1764751456.786151,34406,11,1
2,Payment,1764751456.797047,16895,2,1
3,OrderStatus,1764751456.797094,16720,7,1
1,NewOrder,1764751456.797094,23547,9,1
1,NewOrder,1764751456.797354,23426,10,1
1,NewOrder,1764751456.804820,36968,12,1
2,Payment,1764751456.804953,15799,4,1
5,StockLevel,1764751456.805042,47724,3,1
1,NewOrder,1764751456.805188,35485,14,1
1,NewOrder,1764751456.805222,35131,6,1
