Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,SendPayment,1764751704.625322,4694,0,1
2,Balance,1764751704.635360,1269,0,1
4,SendPayment,1764751704.645375,4176,0,1
6,WriteCheck,1764751704.655284,3607,0,1
5,TransactSavings,1764751704.665448,3803,0,1
4,SendPayment,1764751704.675331,3564,0,1
3,DepositChecking,1764751704.685363,3362,0,1
4,SendPayment,1764751704.695380,4093,0,1
5,TransactSavings,1764751704.705426,3762,0,1
2,Balance,1764751704.715395,892,0,1
1,Amalgamate,1764751704.725387,4457,0,1
6,WriteCheck,1764751704.735354,4126,0,1
4,SendPayment,1764751704.745317,3613,0,1
6,WriteCheck,1764751704.755274,3750,0,1
6,WriteCheck,1764751704.765360,3882,0,1
5,TransactSavings,1764751704.775383,3761,0,1
4,SendPayment,1764751704.785305,3456,0,1
4,SendPayment,1764751704.795305,4362,0,1
6,WriteCheck,1764751704.805296,4333,0,1
3,DepositChecking,1764751704.815379,3229,0,1
6,WriteCheck,1764751704.825306,4015,0,1
6,WriteCheck,1764751704.835281,3892,0,1
2,Balance,1764751704.845310,1046,0,1
6,WriteCheck,1764751704.855280,4460,0,1
2,Balance,1764751704.865356,1091,0,1
3,DepositChecking,1764751704.875291,3626,0,1
4,SendPayment,1764751704.885305,4501,0,1
4,SendPayment,1764751704.895291,3794,0,1
5,TransactSavings,1764751704.905290,3752,0,1
5,TransactSavings,1764751704.915530,3564,0,1
4,SendPayment,1764751704.925351,3783,0,1
6,WriteCheck,1764751704.935273,3681,0,1
1,Amalgamate,1764751704.945265,3598,0,1
6,WriteCheck,1764751704.955368,3705,0,1
5,TransactSavings,1764751704.965269,4728,0,1
4,SendPayment,1764751704.975402,3447,0,1
2,Balance,1764751704.985345,1442,0,1
6,WriteCheck,1764751704.995375,4362,0,1
1,Amalgamate,1764751705.005291,3714,0,1
4,SendPayment,1764751705.015298,3792,0,1
6,WriteCheck,1764751705.025302,3936,0,1
4,SendPayment,1764751705.035297,4067,0,1
3,DepositChecking,1764751705.045356,3397,0,1
3,DepositChecking,1764751705.055280,3311,0,1
5,TransactSavings,1764751705.065696,3257,0,1
1,Amalgamate,1764751705.075351,4732,0,1
5,TransactSavings,1764751705.085320,3697,0,1
1,Amalgamate,1764751705.095280,3512,0,1
4,SendPayment,1764751705.105270,3503,0,1
1,Amalgamate,1764751705.115286,4223,0,1
4,SendPayment,1764751705.125317,3796,0,1
2,Balance,1764751705.135385,997,0,1
1,Amalgamate,1764751705.145273,4134,0,1
2,Balance,1764751705.155308,1017,0,1
1,Amalgamate,1764751705.165320,4050,0,1
3,DepositChecking,1764751705.175288,3787,0,1
4,SendPayment,1764751705.185318,4476,0,1
1,Amalgamate,1764751705.195280,4800,0,1
1,Amalgamate,1764751705.205326,4418,0,1
2,Balance,1764751705.215283,840,0,1
5,TransactSavings,1764751705.225357,11091,0,1
2,Balance,1764751705.236489,1609,0,1
1,Amalgamate,1764751705.245340,4123,0,1
6,WriteCheck,1764751705.255323,4325,0,1
3,DepositChecking,1764751705.265276,3315,0,1
4,SendPayment,1764751705.275259,3681,0,1
6,WriteCheck,1764751705.285309,4530,0,1
1,Amalgamate,1764751705.295298,4444,0,1
1,Amalgamate,1764751705.305273,3982,0,1
1,Amalgamate,1764751705.315263,4331,0,1
6,WriteCheck,1764751705.325307,4199,0,1
5,TransactSavings,1764751705.335269,3552,0,1
2,Balance,1764751705.345429,836,0,1
5,TransactSavings,1764751705.355286,3700,0,1
3,DepositChecking,1764751705.365327,3423,0,1
